住まい,すまい,"사는 집,주소,사는 일"
自宅,じたく,"자택"
住宅,じゅうたく,"주택"
一人暮らし,ひとりくらし,"혼자 삶,독신 생활"
隣,となり,"옆,이웃"
辺り,あたり,"주변,근처"
都会,とかい,"도회지,도시"
郊外,こうがい,"교외"
故郷,こきょう,"고향"
地方,ちほう,"지방"
不動産,ふどうさん,"부동산"
条件,じょうけん,"조건"
往来,おうらい,"왕래"
将来,しょうらい,"장래"
大家,おおや,"집주인"
家賃,やちん,"집세"
環境,かんきょう,"환경"
自然,しぜん,"자연"
森,もり,"숲,삼림"
囲む,かこむ,"두르다,둘러싸다,에워싸다"
気楽,きらく,"마음이 편하다,홀가분하다,편안하다"
港,みなと,"항구"
眺め,ながめ,"전망,경치,풍경"
住所,じゅうしょ,"주소"
移る,うつる,"옮기다,이동하다"
引っ越す,ひっこす,"이사하다"
費用,ひよう,"비용"
要る,いる,"필요하다"
貨物,かもつ,"화물"
整理,せいり,"정리,정리하다"
役所,やくしょ,"관청,관공서"
庭,にわ,"정원,마당"
屋根,やね,"지붕"
天井,てんじょう,"천장"
床,ゆか·とこ,"마루,바닥,잠자리"
壁,かべ,"벽"
日当たり,ひあたり,"볕이 듦,양지"
畳,たたみ,"다다미(속에 짚을 넣은 일본식 돗자리)"
面積,めんせき,"면적,넓이"
隅,すみ,"구석"